,altitude
868.0,77.29348754882812
869.0,81.10653686523438
870.0,79.22876739501953
871.0,90.87029266357422
872.0,98.59944152832031
873.0,114.68865203857422
874.0,107.86930084228516
875.0,118.81149291992188
876.0,109.5552978515625
877.0,95.16432189941406
878.0,83.58110046386719
879.0,76.5890884399414
880.0,84.10237121582031
881.0,94.57964324951172
882.0,93.18733978271484
883.0,30.30533218383789
884.0,25.26080322265625
885.0,23.237930297851562
886.0,19.599214553833008
887.0,16.485851287841797
888.0,12.364924430847168
889.0,5.939783096313477
890.0,5.674126148223877
891.0,5.381293773651123
892.0,7.7517008781433105
893.0,7.277749538421631
894.0,5.932352066040039
895.0,10.85715389251709
896.0,11.736042976379395
897.0,11.856249809265137
898.0,12.499499320983887
899.0,15.730050086975098
900.0,19.778230667114258
901.0,22.471763610839844
902.0,19.27574348449707
903.0,25.662534713745117
904.0,28.685768127441406
905.0,33.62993240356445
906.0,36.13584899902344
907.0,37.97456359863281
908.0,36.762393951416016
909.0,36.93880081176758
910.0,40.55990982055664
911.0,43.28181838989258
912.0,44.180076599121094
913.0,49.15647888183594
914.0,53.2718391418457
915.0,59.703678131103516
916.0,66.63013458251953
917.0,71.86947631835938
918.0,69.06690979003906
919.0,75.25978088378906
920.0,87.17930603027344
921.0,96.8762435913086
922.0,95.50173950195312
923.0,98.62821197509766
924.0,108.2031478881836
925.0,108.28913116455078
926.0,101.86238098144531
927.0,87.76909637451172
928.0,82.8053207397461
929.0,85.99964904785156
930.0,97.29076385498047
931.0,94.15950012207031
932.0,24.509746551513672
933.0,22.308828353881836
934.0,18.09408950805664
935.0,17.88319206237793
936.0,18.257741928100586
937.0,18.245147705078125
938.0,8.977856636047363
939.0,5.303594589233398
940.0,6.3672895431518555
941.0,8.23189640045166
942.0,8.76393985748291
943.0,7.292123794555664
944.0,9.222411155700684
945.0,11.030701637268066
946.0,12.385686874389648
947.0,13.132932662963867
948.0,15.917718887329102
949.0,21.60398292541504
950.0,22.0947208404541
951.0,18.555673599243164
952.0,27.039104461669922
953.0,27.24208641052246
954.0,34.79634475708008
955.0,34.16498947143555
956.0,36.589759826660156
957.0,36.411834716796875
958.0,35.843231201171875
959.0,34.56683349609375
960.0,38.89982604980469
961.0,43.0627326965332
962.0,52.49577331542969
963.0,50.78365707397461
964.0,49.32184600830078
965.0,59.142337799072266
966.0,60.91727828979492
967.0,56.67612075805664
968.0,64.72174072265625
969.0,84.4603042602539
970.0,79.82472229003906
971.0,79.99970245361328
972.0,91.45298767089844
973.0,111.45530700683594
974.0,109.896728515625
975.0,101.80840301513672
976.0,97.12873077392578
977.0,92.11054992675781
978.0,87.8477783203125
979.0,99.34576416015625
980.0,97.29769134521484
981.0,22.767118453979492
982.0,24.01019859313965
983.0,27.56035804748535
984.0,28.167322158813477
985.0,24.164691925048828
986.0,21.94332504272461
987.0,10.047473907470703
988.0,5.799683094024658
989.0,6.382953643798828
990.0,7.366209983825684
991.0,6.125251293182373
992.0,5.585703372955322
993.0,8.163104057312012
994.0,10.267236709594727
995.0,13.351571083068848
996.0,14.598731994628906
997.0,14.709796905517578
998.0,17.578779220581055
999.0,20.947586059570312
1000.0,21.571046829223633
1001.0,30.17780876159668
1002.0,34.433658599853516
1003.0,38.55321502685547
1004.0,34.56144332885742
1005.0,36.01164627075195
1006.0,35.79426574707031
1007.0,35.73487854003906
1008.0,33.379337310791016
1009.0,33.9943962097168
1010.0,36.52531051635742
1011.0,40.729026794433594
1012.0,39.63347244262695
1013.0,39.6256103515625
1014.0,45.82102584838867
1015.0,47.86840057373047
1016.0,49.43643569946289
