,x,y,descrip,grid
3,282379.56475770636,5706230.576983213,BR,1232.0
4,282225.3322540569,5706409.642192487,MID,1232.0
0,282071.0997504074,5706588.70740176,BL,1233.0
1,282096.34206263535,5706921.5903860405,TL,1233.0
2,282430.0493821623,5706896.342951775,TR,1233.0
3,282404.8070699343,5706563.459967494,BR,1233.0
4,282250.57456628483,5706742.525176767,MID,1233.0
0,282096.34206263535,5706921.5903860405,BL,1234.0
1,282121.5843748633,5707254.473370321,TL,1234.0
2,282455.29169439024,5707229.225936055,TR,1234.0
3,282430.0493821623,5706896.342951775,BR,1234.0
4,282275.8168785128,5707075.408161048,MID,1234.0
0,282121.5843748633,5707254.473370321,BL,1235.0
1,282146.82668709126,5707587.356354602,TL,1235.0
2,282480.5340066182,5707562.108920336,TR,1235.0
3,282455.29169439024,5707229.225936055,BR,1235.0
4,282301.05919074075,5707408.291145328,MID,1235.0
0,282146.82668709126,5707587.356354602,BL,1236.0
1,282172.0689993192,5707920.239338882,TL,1236.0
2,282505.77631884615,5707894.991904616,TR,1236.0
3,282480.5340066182,5707562.108920336,BR,1236.0
4,282326.3015029687,5707741.174129609,MID,1236.0
0,282172.0689993192,5707920.239338882,BL,1237.0
1,282197.3113115472,5708253.122323163,TL,1237.0
2,282531.0186310741,5708227.874888897,TR,1237.0
3,282505.77631884615,5707894.991904616,BR,1237.0
4,282351.54381519667,5708074.05711389,MID,1237.0
0,282197.3113115472,5708253.122323163,BL,1238.0
1,282222.55362377514,5708586.005307443,TL,1238.0
2,282556.26094330207,5708560.7578731775,TR,1238.0
3,282531.0186310741,5708227.874888897,BR,1238.0
4,282376.7861274246,5708406.94009817,MID,1238.0
0,282222.55362377514,5708586.005307443,BL,1239.0
1,282247.7959360031,5708918.888291724,TL,1239.0
2,282581.50325553,5708893.640857458,TR,1239.0
3,282556.26094330207,5708560.7578731775,BR,1239.0
4,282402.0284396526,5708739.823082451,MID,1239.0
0,282247.7959360031,5708918.888291724,BL,1240.0
1,282273.03824823105,5709251.771276005,TL,1240.0
2,282606.745567758,5709226.523841739,TR,1240.0
3,282581.50325553,5708893.640857458,BR,1240.0
4,282427.27075188054,5709072.706066731,MID,1240.0
0,282273.03824823105,5709251.771276005,BL,1241.0
1,282298.280560459,5709584.654260285,TL,1241.0
2,282631.98787998594,5709559.406826019,TR,1241.0
3,282606.745567758,5709226.523841739,BR,1241.0
4,282452.5130641085,5709405.589051012,MID,1241.0
0,282298.280560459,5709584.654260285,BL,1242.0
1,282323.52287268697,5709917.537244566,TL,1242.0
2,282657.2301922139,5709892.2898103,TR,1242.0
3,282631.98787998594,5709559.406826019,BR,1242.0
4,282477.75537633646,5709738.472035293,MID,1242.0
0,282323.52287268697,5709917.537244566,BL,1243.0
1,282348.7651849149,5710250.420228846,TL,1243.0
2,282682.47250444186,5710225.17279458,TR,1243.0
3,282657.2301922139,5709892.2898103,BR,1243.0
4,282502.9976885644,5710071.355019573,MID,1243.0
0,282348.7651849149,5710250.420228846,BL,1244.0
1,282374.0074971429,5710583.303213127,TL,1244.0
2,282707.7148166698,5710558.055778861,TR,1244.0
3,282682.47250444186,5710225.17279458,BR,1244.0
4,282528.2400007924,5710404.238003854,MID,1244.0
0,282374.0074971429,5710583.303213127,BL,1245.0
1,282399.24980937084,5710916.186197408,TL,1245.0
2,282732.9571288978,5710890.938763142,TR,1245.0
3,282707.7148166698,5710558.055778861,BR,1245.0
4,282553.48231302033,5710737.120988134,MID,1245.0
0,282399.24980937084,5710916.186197408,BL,1246.0
1,282424.4921215988,5711249.069181688,TL,1246.0
2,282758.19944112573,5711223.821747422,TR,1246.0
3,282732.9571288978,5710890.938763142,BR,1246.0
4,282578.7246252483,5711070.003972415,MID,1246.0
0,282424.4921215988,5711249.069181688,BL,1247.0
1,282449.73443382676,5711581.952165969,TL,1247.0
2,282783.4417533537,5711556.704731703,TR,1247.0
3,282758.19944112573,5711223.821747422,BR,1247.0
4,282603.96693747625,5711402.8869566955,MID,1247.0
0,282449.73443382676,5711581.952165969,BL,1248.0
1,282474.9767460547,5711914.835150249,TL,1248.0
2,282808.68406558165,5711889.587715983,TR,1248.0
3,282783.4417533537,5711556.704731703,BR,1248.0
4,282629.2092497042,5711735.769940976,MID,1248.0
0,282474.9767460547,5711914.835150249,BL,1249.0
1,282500.2190582827,5712247.71813453,TL,1249.0
2,282833.9263778096,5712222.470700264,TR,1249.0
3,282808.68406558165,5711889.587715983,BR,1249.0
4,282654.45156193216,5712068.652925257,MID,1249.0
0,282500.2190582827,5712247.71813453,BL,1250.0
1,282525.46137051063,5712580.6011188105,TL,1250.0
2,282859.16869003756,5712555.353684545,TR,1250.0
3,282833.9263778096,5712222.470700264,BR,1250.0
4,282679.6938741601,5712401.535909537,MID,1250.0
0,282525.46137051063,5712580.6011188105,BL,1251.0
1,282550.7036827386,5712913.484103091,TL,1251.0
2,282884.4110022655,5712888.236668825,TR,1251.0
3,282859.16869003756,5712555.353684545,BR,1251.0
4,282704.9361863881,5712734.418893818,MID,1251.0
0,282550.7036827386,5712913.484103091,BL,1252.0
1,282575.94599496655,5713246.367087372,TL,1252.0
2,282909.6533144935,5713221.119653106,TR,1252.0
3,282884.4110022655,5712888.236668825,BR,1252.0
4,282730.17849861603,5713067.301878098,MID,1252.0
0,282575.94599496655,5713246.367087372,BL,1253.0
1,282601.1883071945,5713579.250071652,TL,1253.0
2,282934.89562672144,5713554.002637386,TR,1253.0
3,282909.6533144935,5713221.119653106,BR,1253.0
4,282755.420810844,5713400.184862379,MID,1253.0
0,282601.1883071945,5713579.250071652,BL,1254.0
1,282626.43061942246,5713912.133055933,TL,1254.0
2,282960.1379389494,5713886.885621667,TR,1254.0
3,282934.89562672144,5713554.002637386,BR,1254.0
4,282780.66312307195,5713733.06784666,MID,1254.0
0,282626.43061942246,5713912.133055933,BL,1255.0
1,282651.6729316504,5714245.016040213,TL,1255.0
2,282985.38025117735,5714219.7686059475,TR,1255.0
3,282960.1379389494,5713886.885621667,BR,1255.0
4,282805.9054352999,5714065.95083094,MID,1255.0
0,282651.6729316504,5714245.016040213,BL,1256.0
1,282676.9152438784,5714577.899024494,TL,1256.0
2,283010.6225634053,5714552.651590228,TR,1256.0
3,282985.38025117735,5714219.7686059475,BR,1256.0
4,282831.14774752787,5714398.833815221,MID,1256.0
0,282676.9152438784,5714577.899024494,BL,1257.0
1,282702.15755610634,5714910.782008775,TL,1257.0
2,283035.86487563327,5714885.534574509,TR,1257.0
3,283010.6225634053,5714552.651590228,BR,1257.0
4,282856.3900597558,5714731.716799501,MID,1257.0
0,282702.15755610634,5714910.782008775,BL,1258.0
1,282727.3998683343,5715243.664993055,TL,1258.0
2,283061.1071878612,5715218.417558789,TR,1258.0
3,283035.86487563327,5714885.534574509,BR,1258.0
4,282881.6323719838,5715064.599783782,MID,1258.0
0,282727.3998683343,5715243.664993055,BL,1259.0
1,282752.64218056225,5715576.547977336,TL,1259.0
2,283086.3495000892,5715551.30054307,TR,1259.0
3,283061.1071878612,5715218.417558789,BR,1259.0
4,282906.87468421174,5715397.4827680625,MID,1259.0
0,282752.64218056225,5715576.547977336,BL,1260.0
1,282777.8844927902,5715909.430961616,TL,1260.0
2,283111.59181231714,5715884.18352735,TR,1260.0
3,283086.3495000892,5715551.30054307,BR,1260.0
4,282932.1169964397,5715730.365752343,MID,1260.0
0,282777.8844927902,5715909.430961616,BL,1261.0
1,282803.12680501817,5716242.313945897,TL,1261.0
2,283136.8341245451,5716217.066511631,TR,1261.0
3,283111.59181231714,5715884.18352735,BR,1261.0
4,282957.35930866766,5716063.248736624,MID,1261.0
0,282803.12680501817,5716242.313945897,BL,1262.0
1,282828.3691172461,5716575.1969301775,TL,1262.0
2,283162.07643677306,5716549.949495912,TR,1262.0
3,283136.8341245451,5716217.066511631,BR,1262.0
4,282982.6016208956,5716396.131720904,MID,1262.0
0,282828.3691172461,5716575.1969301775,BL,1263.0
1,282853.6114294741,5716908.079914458,TL,1263.0
2,283187.318749001,5716882.832480192,TR,1263.0
3,283162.07643677306,5716549.949495912,BR,1263.0
4,283007.8439331236,5716729.014705185,MID,1263.0
0,282853.6114294741,5716908.079914458,BL,1264.0
1,282878.85374170204,5717240.962898739,TL,1264.0
2,283212.561061229,5717215.715464473,TR,1264.0
3,283187.318749001,5716882.832480192,BR,1264.0
4,283033.08624535153,5717061.897689465,MID,1264.0
0,282878.85374170204,5717240.962898739,BL,1265.0
1,282904.09605393,5717573.845883019,TL,1265.0
2,283237.80337345693,5717548.598448753,TR,1265.0
3,283212.561061229,5717215.715464473,BR,1265.0
4,283058.3285575795,5717394.780673746,MID,1265.0
0,282904.09605393,5717573.845883019,BL,1266.0
1,282929.33836615796,5717906.7288673,TL,1266.0
2,283263.0456856849,5717881.481433034,TR,1266.0
3,283237.80337345693,5717548.598448753,BR,1266.0
4,283083.57086980744,5717727.663658027,MID,1266.0
0,282929.33836615796,5717906.7288673,BL,1267.0
1,282954.5806783859,5718239.61185158,TL,1267.0
2,283288.28799791285,5718214.3644173145,TR,1267.0
3,283263.0456856849,5717881.481433034,BR,1267.0
4,283108.8131820354,5718060.546642307,MID,1267.0
0,282954.5806783859,5718239.61185158,BL,1268.0
1,282979.8229906139,5718572.494835861,TL,1268.0
2,283313.5303101408,5718547.247401595,TR,1268.0
3,283288.28799791285,5718214.3644173145,BR,1268.0
4,283134.05549426336,5718393.429626588,MID,1268.0
0,282979.8229906139,5718572.494835861,BL,1269.0
1,283005.06530284183,5718905.377820142,TL,1269.0
2,283338.77262236876,5718880.130385876,TR,1269.0
3,283313.5303101408,5718547.247401595,BR,1269.0
4,283159.2978064913,5718726.312610868,MID,1269.0
0,283005.06530284183,5718905.377820142,BL,1270.0
1,283030.3076150698,5719238.260804422,TL,1270.0
2,283364.0149345967,5719213.013370156,TR,1270.0
3,283338.77262236876,5718880.130385876,BR,1270.0
4,283184.5401187193,5719059.195595149,MID,1270.0
0,283030.3076150698,5719238.260804422,BL,1271.0
1,283055.54992729775,5719571.143788703,TL,1271.0
2,283389.2572468247,5719545.896354437,TR,1271.0
3,283364.0149345967,5719213.013370156,BR,1271.0
4,283209.78243094723,5719392.07857943,MID,1271.0
0,283055.54992729775,5719571.143788703,BL,1272.0
1,283080.7922395257,5719904.026772983,TL,1272.0
2,283414.49955905264,5719878.779338717,TR,1272.0
3,283389.2572468247,5719545.896354437,BR,1272.0
4,283235.0247431752,5719724.96156371,MID,1272.0
0,283080.7922395257,5719904.026772983,BL,1273.0
1,283106.03455175366,5720236.909757264,TL,1273.0
2,283439.7418712806,5720211.662322998,TR,1273.0
3,283414.49955905264,5719878.779338717,BR,1273.0
4,283260.26705540315,5720057.844547991,MID,1273.0
0,283106.03455175366,5720236.909757264,BL,1274.0
1,283131.2768639816,5720569.792741545,TL,1274.0
2,283464.98418350855,5720544.545307279,TR,1274.0
3,283439.7418712806,5720211.662322998,BR,1274.0
4,283285.5093676311,5720390.727532271,MID,1274.0
0,282228.1108843386,5704233.27907753,BL,1275.0
1,282253.3531965666,5704566.1620618105,TL,1275.0
2,282587.0605160935,5704540.914627546,TR,1275.0
3,282561.81820386555,5704208.031643266,BR,1275.0
4,282407.58570021606,5704387.096852538,MID,1275.0
0,282253.3531965666,5704566.1620618105,BL,1276.0
1,282278.59550879453,5704899.045046091,TL,1276.0
2,282612.30282832147,5704873.797611827,TR,1276.0
3,282587.0605160935,5704540.914627546,BR,1276.0
4,282432.828012444,5704719.979836819,MID,1276.0
0,282278.59550879453,5704899.045046091,BL,1277.0
