,x,y,descrip,grid
2,275490.4095533739,5721878.84455746,TR,11.0
3,275376.812876119,5720380.8765204735,BR,11.0
4,274683.3976842173,5721186.622114132,MID,11.0
0,274240.84610357013,5705401.196150614,BL,12.0
1,274354.442780825,5706899.164187601,TL,12.0
2,275854.86984188325,5706785.64103727,TR,12.0
3,275741.27316462836,5705287.673000284,BR,12.0
4,275047.8579727267,5706093.418593942,MID,12.0
0,274354.442780825,5706899.164187601,BL,13.0
1,274468.0394580799,5708397.132224586,TL,13.0
2,275968.46651913814,5708283.609074255,TR,13.0
3,275854.86984188325,5706785.64103727,BR,13.0
4,275161.4546499816,5707591.386630928,MID,13.0
0,274468.0394580799,5708397.132224586,BL,14.0
1,274581.6361353348,5709895.100261573,TL,14.0
2,276082.063196393,5709781.577111242,TR,14.0
3,275968.46651913814,5708283.609074255,BR,14.0
4,275275.05132723646,5709089.354667914,MID,14.0
0,274581.6361353348,5709895.100261573,BL,15.0
1,274695.2328125897,5711393.068298558,TL,15.0
2,276195.6598736479,5711279.545148227,TR,15.0
3,276082.063196393,5709781.577111242,BR,15.0
4,275388.64800449135,5710587.3227049,MID,15.0
0,274695.2328125897,5711393.068298558,BL,16.0
1,274808.82948984456,5712891.036335545,TL,16.0
2,276309.2565509028,5712777.513185214,TR,16.0
3,276195.6598736479,5711279.545148227,BR,16.0
4,275502.24468174623,5712085.290741886,MID,16.0
0,274808.82948984456,5712891.036335545,BL,17.0
1,274922.42616709945,5714389.00437253,TL,17.0
2,276422.8532281577,5714275.481222199,TR,17.0
3,276309.2565509028,5712777.513185214,BR,17.0
4,275615.8413590011,5713583.258778872,MID,17.0
0,274922.42616709945,5714389.00437253,BL,18.0
1,275036.02284435433,5715886.972409517,TL,18.0
2,276536.44990541256,5715773.449259186,TR,18.0
3,276422.8532281577,5714275.481222199,BR,18.0
4,275729.438036256,5715081.226815858,MID,18.0
0,275036.02284435433,5715886.972409517,BL,19.0
1,275149.6195216092,5717384.940446502,TL,19.0
2,276650.04658266745,5717271.417296171,TR,19.0
3,276536.44990541256,5715773.449259186,BR,19.0
4,275843.0347135109,5716579.194852844,MID,19.0
0,275149.6195216092,5717384.940446502,BL,20.0
1,275263.2161988641,5718882.9084834885,TL,20.0
2,276763.64325992233,5718769.385333158,TR,20.0
3,276650.04658266745,5717271.417296171,BR,20.0
4,275956.6313907658,5718077.16288983,MID,20.0
0,275263.2161988641,5718882.9084834885,BL,21.0
1,275376.812876119,5720380.8765204735,TL,21.0
2,276877.2399371772,5720267.353370143,TR,21.0
3,276763.64325992233,5718769.385333158,BR,21.0
4,276070.22806802066,5719575.130926816,MID,21.0
0,275376.812876119,5720380.8765204735,BL,22.0
1,275490.4095533739,5721878.84455746,TL,22.0
2,276990.8366144321,5721765.32140713,TR,22.0
3,276877.2399371772,5720267.353370143,BR,22.0
4,276183.82474527555,5721073.098963802,MID,22.0
0,275741.27316462836,5705287.673000284,BL,23.0
1,275854.86984188325,5706785.64103727,TL,23.0
2,277355.2969029415,5706672.11788694,TR,23.0
3,277241.7002256866,5705174.149849953,BR,23.0
4,276548.2850337849,5705979.895443612,MID,23.0
0,275854.86984188325,5706785.64103727,BL,24.0
1,275968.46651913814,5708283.609074255,TL,24.0
2,277468.89358019637,5708170.085923925,TR,24.0
3,277355.2969029415,5706672.11788694,BR,24.0
4,276661.8817110398,5707477.863480598,MID,24.0
0,275968.46651913814,5708283.609074255,BL,25.0
1,276082.063196393,5709781.577111242,TL,25.0
2,277582.49025745125,5709668.053960912,TR,25.0
3,277468.89358019637,5708170.085923925,BR,25.0
4,276775.4783882947,5708975.831517584,MID,25.0
0,276082.063196393,5709781.577111242,BL,26.0
1,276195.6598736479,5711279.545148227,TL,26.0
2,277696.08693470614,5711166.021997897,TR,26.0
3,277582.49025745125,5709668.053960912,BR,26.0
4,276889.0750655496,5710473.79955457,MID,26.0
0,276195.6598736479,5711279.545148227,BL,27.0
1,276309.2565509028,5712777.513185214,TL,27.0
2,277809.683611961,5712663.990034884,TR,27.0
3,277696.08693470614,5711166.021997897,BR,27.0
4,277002.67174280446,5711971.767591556,MID,27.0
0,276309.2565509028,5712777.513185214,BL,28.0
1,276422.8532281577,5714275.481222199,TL,28.0
2,277923.2802892159,5714161.958071869,TR,28.0
3,277809.683611961,5712663.990034884,BR,28.0
4,277116.26842005935,5713469.735628542,MID,28.0
0,276422.8532281577,5714275.481222199,BL,29.0
1,276536.44990541256,5715773.449259186,TL,29.0
2,278036.8769664708,5715659.926108856,TR,29.0
3,277923.2802892159,5714161.958071869,BR,29.0
4,277229.86509731424,5714967.7036655275,MID,29.0
0,276536.44990541256,5715773.449259186,BL,30.0
1,276650.04658266745,5717271.417296171,TL,30.0
2,278150.4736437257,5717157.894145841,TR,30.0
3,278036.8769664708,5715659.926108856,BR,30.0
4,277343.4617745691,5716465.6717025135,MID,30.0
0,276650.04658266745,5717271.417296171,BL,31.0
1,276763.64325992233,5718769.385333158,TL,31.0
2,278264.07032098057,5718655.862182828,TR,31.0
3,278150.4736437257,5717157.894145841,BR,31.0
4,277457.058451824,5717963.639739499,MID,31.0
0,276763.64325992233,5718769.385333158,BL,32.0
1,276877.2399371772,5720267.353370143,TL,32.0
